Carabus_serratus-Btray-Y2018-NEON.BET.D09.003068-NEON.BET.D09.003900                                           => True: 13 , DINO: 13 , Check?: 0, Merge?: 0
Pterostichus_tristis-Atray-Y2023-NEON.BET.D01.009113-NEON.BET.D01.009654                                       => True: 76 , DINO: 76 , Check?: 0, Merge?: 0
Pterostichus_permundus-Btray-Y2021-NEON.BET.D02.010685-NEON.BET.D02.010876                                     => True: 23 , DINO: 23 , Check?: 0, Merge?: 0
Galerita_bicolor-Atray-Y2021-NEON.BET.D02.010049-NEON.BET.D02.011739                                           => True: 25 , DINO: 25 , Check?: 0, Merge?: 0
Sphaeroderus_canadensis-Btray-Y2021-NEON.BET.D01.006860-NEON.BET.D01.006900                                    => True: 25 , DINO: 25 , Check?: 0, Merge?: 0
Pasimachus_elongatus-Atray-Y2019-NEON.BET.D09.005110-NEON.BET.D09.005291                                       => True: 30 , DINO: 30 , Check?: 0, Merge?: 0
Calosoma_peregrinator-Btray-Y2021-NEON.BET.D14.001771-NEON.BET.D14.001811                                      => True: 12 , DINO: 12 , Check?: 0, Merge?: 0
Cyclotrachelus_fucatus-Btray-Y2018-NEON.BET.D07.003398-NEON.BET.D07.005282                                     => True: 31 , DINO: 31 , Check?: 0, Merge?: 0
Amara_quenseli-Atray-Y2018-NEON.BET.D15.000560-NEON.BET.D15.000812                                             => True: 77 , DINO: 77 , Check?: 0, Merge?: 0
Synuchus_impunctatus-Atray-Y2020-NEON.BET.D05.007258-NEON.BET.D05.007341                                       => True: 70 , DINO: 70 , Check?: 0, Merge?: 0
Calosoma_calidum-Btray-Y2023-NEON.BET.D09.009819-NEON.BET.D09.009926                                           => True: 18 , DINO: 18 , Check?: 0, Merge?: 0
Pasimachus_californicus-Atray-Y2019-NEON.BET.D11.001730-NEON.BET.D11.001756                                    => True: 20 , DINO: 20 , Check?: 0, Merge?: 0
Chlaenius_aestivus-Atray-Y2022-NEON.BET.D02.002930-NEON.BET.D02.13253                                          => True: 72 , DINO: 72 , Check?: 0, Merge?: 0
Pasimachus_californicus-Atray-Y2022-NEON.BET.D06.008299-NEON.BET.D06.008400                                    => True: 25 , DINO: 25 , Check?: 0, Merge?: 0
Cymindis_punctigera-Btray-Y2018-NEON.BET.D14.000770-NEON.BET.D14.000796                                        => True: 13 , DINO: 13 , Check?: 0, Merge?: 0
Pterostichus_coracinus-Btray-Y2019-NEON.BET.D07.007888-NEON.BET.D07.008160                                     => True: 13 , DINO: 13 , Check?: 0, Merge?: 0
Pasimachus_punctulatus-Atray-Y2019-NEON.BET.D07.006580-NEON.BET.D07.006896                                     => True: 19 , DINO: 19 , Check?: 0, Merge?: 0
Scaphinotus_angusticollis-Atray-Y2018-NEON.BET.D16.001169-NEON.BET.D16.001882                                  => True: 42 , DINO: 42 , Check?: 0, Merge?: 0
Carabus_truncaticollis-Atray-Y2021-NEON.BET.D18.002723-NEON.BET.D18.002800                                     => True: 50 , DINO: 50 , Check?: 0, Merge?: 0
Poecilus_lucublandus-Btray-Y2021-NEON.BET.D09.006755-NEON.BET.D09.007548                                       => True: 29 , DINO: 29 , Check?: 0, Merge?: 0
Pasimachus_californicus-Atray-Y2019-NEON.BET.D06.004564-NEON.BET.D06.004633                                    => True: 20 , DINO: 20 , Check?: 0, Merge?: 0
Pterostichus_lachrymosus-Atray-Y2019-NEON.BET.D07.006467-NEON.BET.D07.006767                                   => True: 44 , DINO: 44 , Check?: 0, Merge?: 0
Harpalus_vagans-Btray-Y2019-NEON.BET.D08.002709-NEON.BET.D08.003009                                            => True: 13 , DINO: 13 , Check?: 0, Merge?: 0
Cyclotrachelus_sigillatus-Atray-Y2022-NEON.BET.D07.012733-NEON.BET.D07.013112                                  => True: 53 , DINO: 53 , Check?: 0, Merge?: 0
Amara_carinata-Atray-Y2018-NEON.BET.D10.008114-NEON.BET.D10.009360                                             => True: 46 , DINO: 46 , Check?: 0, Merge?: 0
Chlaenius_aestivus-Atray-Y2018-NEON.BET.D02.006584-NEON.BET.D02.006753                                         => True: 38 , DINO: 38 , Check?: 0, Merge?: 0
Chlaenius_tomentosus-Btray-Y2015-NEON.BET.D10.004591-NEON.BET.D10.004845                                       => True: 25 , DINO: 25 , Check?: 0, Merge?: 0
Pasimachus_elongatus-Atray-Y2015-NEON.BET.D06.000726-NEON.BET.D06.000918                                       => True: 34 , DINO: 34 , Check?: 0, Merge?: 0
Harpalus_spadiceus-Btray-Y2021-NEON.BET.D07.008216-NEON.BET.D07.011758                                         => True: 30 , DINO: 30 , Check?: 0, Merge?: 0
Pterostichus_ordinarius-Atray-Y2018-NEON.BET.D17.000554-NEON.BET.D17.000766                                    => True: 63 , DINO: 63 , Check?: 0, Merge?: 0
Calosoma_scrutator-Btray-Y2019-NEON.BET.D11.001438-NEON.BET.D11.001442                                         => True: 5  , DINO: 5  , Check?: 0, Merge?: 0
Scaphinotus_angusticollis-Btray-Y2021-NEON.BET.D16.003657-NEON.BET.D16.003866                                  => True: 12 , DINO: 12 , Check?: 0, Merge?: 0
Synuchus_impunctatus-Atray-Y2020-NEON.BET.D05.007505-NEON.BET.D05.007588                                       => True: N/A, DINO: 64 , Check?: 0, Merge?: 0
Scarites_vicinus-Btray-Y2022-NEON.BET.D06.008046-NEON.BET.D06.009034                                           => True: 18 , DINO: 18 , Check?: 0, Merge?: 0
Pasimachus_punctulatus-Atray-Y2020-NEON.BET.D07.009013-NEON.BET.D07.009220                                     => True: N/A, DINO: 19 , Check?: 0, Merge?: 0
Poecilus_chalcites-Btray-Y2022-NEON.BET.D06.008053-NEON.BET.D06.008821                                         => True: 40 , DINO: 40 , Check?: 0, Merge?: 0
Cratacanthus_dubius-Atray-Y2019-NEON.BET.D10.010380-NEON.BET.D10.012108                                        => True: 77 , DINO: 77 , Check?: 0, Merge?: 0
Harpalus_desertus-Btray-Y2019-NEON.BET.D10.010337-NEON.BET.D10.012147                                          => True: 31 , DINO: 31 , Check?: 0, Merge?: 0
Anisodactylus_carbonarius-Btray-Y2020-NEON.BET.D10.012952-NEON.BET.D10.013202                                  => True: 12 , DINO: 12 , Check?: 0, Merge?: 0
Brachinus_alternans-Atray-Y2019-NEON.BET.D06.004242-NEON.BET.D06.005683                                        => True: 24 , DINO: 24 , Check?: 0, Merge?: 0
Piosoma_setosum-Atray-Y2023-NEON.BET.D10.016965-NEON.BET.D10.017408                                            => True: N/A, DINO: 53 , Check?: 0, Merge?: 0
Harpalus_amputatus-Btray-Y2014-NEON.BET.D10.002190-NEON.BET.D10.002394                                         => True: N/A, DINO: 18 , Check?: 0, Merge?: 0
Cyclotrachelus_deceptus-Btray-Y2019-NEON.BET.D06.004517-NEON.BET.D06.005185                                    => True: 12 , DINO: 12 , Check?: 0, Merge?: 0
Pasimachus_elongatus-Atray-Y2019-NEON.BET.D06.004841-NEON.BET.D06.005070                                       => True: 28 , DINO: 28 , Check?: 0, Merge?: 0
Carabus_goryi-Atray-Y2021-NEON.BET.D07.011405-NEON.BET.D07.011750                                              => True: 50 , DINO: 50 , Check?: 0, Merge?: 0
Amara_californica-Atray-Y2019-NEON.BET.D17.000967-NEON.BET.D17.001078                                          => True: 48 , DINO: 48 , Check?: 0, Merge?: 0
Cyclotrachelus_torvus-Atray-Y2018-NEON.BET.D10.008109-NEON.BET.D10.009065                                      => True: 51 , DINO: 51 , Check?: 0, Merge?: 0
Cymindis_cribricollis-Btray-Y2020-NEON.BET.D01.005939-NEON.BET.D01.006188                                      => True: 27 , DINO: 27 , Check?: 0, Merge?: 0
Carabus_sylvosus-Btray-Y2019-NEON.BET.D07.006307-NEON.BET.D07.006549                                           => True: 12 , DINO: 12 , Check?: 0, Merge?: 0
Pterostichus_rostratus-Atray-Y2018-NEON.BET.D01.003218-NEON.BET.D01.004176                                     => True: 43 , DINO: 43 , Check?: 0, Merge?: 0
Omus_californicus-Atray-Y2018-NEON.BET.D17.000480-NEON.BET.D17.000832                                          => True: 28 , DINO: 28 , Check?: 0, Merge?: 0
Pasimachus_californicus-Atray-Y2018-NEON.BET.D11.001065-NEON.BET.D11.001251                                    => True: 16 , DINO: 16 , Check?: 0, Merge?: 0
Cyclotrachelus_torvus-Btray-Y2018-NEON.BET.D09.004099-NEON.BET.D09.004152                                      => True: 30 , DINO: 30 , Check?: 0, Merge?: 0
Myas_coracinus-Btray-Y2022-NEON.BET.D07.012816-NEON.BET.D07.013546                                             => True: 15 , DINO: 15 , Check?: 0, Merge?: 0
Pterostichus_coracinus-Atray-Y2018-NEON.BET.D07.003739-NEON.BET.D07.005399                                     => True: 26 , DINO: 26 , Check?: 0, Merge?: 0
Pterostichus_protractus-Atray-Y2019-NEON.BET.D12.000691-NEON.BET.D12.001350                                    => True: 30 , DINO: 30 , Check?: 0, Merge?: 0
Anisodactylus_ovularis-Btray-Y2022-NEON.BET.D06.008058-NEON.BET.D06.008832                                     => True: 13 , DINO: 13 , Check?: 0, Merge?: 0
Carabus_taedatus-Atray-Y2023-NEON.BET.D12.001619-NEON.BET.D12.001639                                           => True: 21 , DINO: 21 , Check?: 0, Merge?: 0
Cicindela_punctulata-Btray-Y2018-NEON.BET.D06.003886-NEON.BET.D06.004101                                       => True: 14 , DINO: 14 , Check?: 0, Merge?: 0
Pterostichus_acutipes-Atray-Y2019-NEON.BET.D07.006688-NEON.BET.D07.007850                                      => True: 50 , DINO: 50 , Check?: 0, Merge?: 0
Amara_aurata-Btray-Y2019-NEON.BET.D17.000875-NEON.BET.D17.001110                                               => True: N/A, DINO: 13 , Check?: 0, Merge?: 0
Pterostichus_coracinus-Btray-Y2018-NEON.BET.D02.006017-NEON.BET.D02.006030                                     => True: 14 , DINO: 14 , Check?: 0, Merge?: 0
Harpalus_paratus-Btray-Y2019-NEON.BET.D06.004616-NEON.BET.D06.006028                                           => True: 13 , DINO: 13 , Check?: 0, Merge?: 0
Pterostichus_coracinus-Btray-Y2020-NEON.BET.D02.009530-NEON.BET.D02.009580                                     => True: N/A, DINO: 18 , Check?: 0, Merge?: 0
Pterostichus_stygicus-Btray-Y2023-NEON.BET.D02.13763-NEON.BET.D02.14483                                        => True: 26 , DINO: 26 , Check?: 0, Merge?: 0
Pasimachus_elongatus-Atray-Y2014-NEON.BET.D10.000947-NEON.BET.D10.001715                                       => True: 40 , DINO: 40 , Check?: 0, Merge?: 0
Calosoma_calidum-Btray-Y2018-NEON.BET.D12.000012-NEON.BET.D12.000624                                           => True: 12 , DINO: 12 , Check?: 0, Merge?: 0
Pterostichus_protractus-Btray-Y2023-NEON.BET.D10.016957-NEON.BET.D10.017157                                    => True: 13 , DINO: 13 , Check?: 0, Merge?: 0
Pasimachus_elongatus-Atray-Y2019-NEON.BET.D09.005329-NEON.BET.D09.005583                                       => True: 23 , DINO: 23 , Check?: 0, Merge?: 0
Sphaeroderus_stenostomus-Atray-Y2022-NEON.BET.D07.011995-NEON.BET.D07.013734                                   => True: 61 , DINO: 61 , Check?: 0, Merge?: 0
Stereocerus_rubripes-Btray-Y2019-NEON.BET.D18.001244-NEON.BET.D18.001798                                       => True: 9  , DINO: 9  , Check?: 0, Merge?: 0
Pterostichus_pensylvanicus-Btray-Y2020-NEON.BET.D05.006829-NEON.BET.D05.007502                                 => True: 32 , DINO: 32 , Check?: 0, Merge?: 0
Synuchus_impunctatus-Atray-Y2018-NEON.BET.D05.004428-NEON.BET.D05.004506                                       => True: 63 , DINO: 63 , Check?: 0, Merge?: 0
Sphaeroderus_canadensis-Btray-Y2023-NEON.BET.D01.009508-NEON.BET.D01.009809                                    => True: 25 , DINO: 25 , Check?: 0, Merge?: 0
Pasimachus_elongatus-Atray-Y2020-NEON.BET.D10.009900-NEON.BET.D10.013266                                       => True: 29 , DINO: 29 , Check?: 0, Merge?: 0
Harpalus_somnulentus-Atray-Y2020-NEON.BET.D09.005741-NEON.BET.D09.006703                                       => True: 30 , DINO: 30 , Check?: 0, Merge?: 0
Sphaeroderus_canadensis-Atray-Y2022-NEON.BET.D01.008045-NEON.BET.D01.009075                                    => True: 38 , DINO: 38 , Check?: 0, Merge?: 0
Pterostichus_atratus-Btray-Y2018-NEON.BET.D08.001961-NEON.BET.D08.002536                                       => True: 16 , DINO: 17 , Check?: 0, Merge?: 1
Pterostichus_lama-Atray-Y2022-NEON.BET.D17.002370-NEON.BET.D17.002787                                          => True: 31 , DINO: 31 , Check?: 0, Merge?: 0
Cyclotrachelus_faber-Btray-Y2022-NEON.BET.D03.004086-NEON.BET.D03.004112                                       => True: 28 , DINO: 28 , Check?: 0, Merge?: 0
Pasimachus_elongatus-Atray-Y2022-NEON.BET.D10.016297-NEON.BET.D10.016501                                       => True: 35 , DINO: 35 , Check?: 0, Merge?: 0
Cyclotrachelus_convivus-Atray-Y2018-NEON.BET.D08.002159-NEON.BET.D08.002541                                    => True: 29 , DINO: 29 , Check?: 0, Merge?: 0
Cyclotrachelus_seximpressus-Btray-Y2019-NEON.BET.D06.005361-NEON.BET.D06.006024                                => True: 19 , DINO: 19 , Check?: 0, Merge?: 0
Sphaeroderus_stenostomus-Btray-Y2023-NEON.BET.D07.014294-NEON.BET.D07.014934                                   => True: N/A, DINO: 26 , Check?: 0, Merge?: 0
Pasimachus_punctulatus-Atray-Y2018-NEON.BET.D07.003484-NEON.BET.D07.005604                                     => True: 19 , DINO: 19 , Check?: 0, Merge?: 0
Dicaelus_dilatatus-Btray-Y2018-NEON.BET.D02.006283-NEON.BET.D02.006307                                         => True: 20 , DINO: 20 , Check?: 0, Merge?: 0
Pasimachus_californicus-Atray-Y2019-NEON.BET.D06.004696-NEON.BET.D06.004735                                    => True: 20 , DINO: 20 , Check?: 0, Merge?: 0
Myas_cyanescens-Btray-Y2021-NEON.BET.D07.009947-NEON.BET.D07.011706                                            => True: 15 , DINO: 15 , Check?: 0, Merge?: 0
Pterostichus_acutipes-Atray-Y2018-NEON.BET.D07.003769-NEON.BET.D07.005199                                      => True: N/A, DINO: 56 , Check?: 0, Merge?: 0
Calosoma_affine-Btray-Y2014-NEON.BET.D10.001032-NEON.BET.D10.002551                                            => True: 18 , DINO: 18 , Check?: 0, Merge?: 0
Pasimachus_sublaevis-Btray-Y2018-NEON.BET.D03.001894-NEON.BET.D03.001909                                       => True: 12 , DINO: 12 , Check?: 0, Merge?: 0
Scaphinotus_angusticollis-Atray-Y2019-NEON.BET.D16.002586-NEON.BET.D16.002655                                  => True: 30 , DINO: 30 , Check?: 0, Merge?: 0
Pterostichus_rostratus-Atray-Y2021-NEON.BET.D01.006912-NEON.BET.D01.006982                                     => True: 62 , DINO: 62 , Check?: 0, Merge?: 0
Chlaenius_emarginatus-Btray-Y2018-NEON.BET.D02.006392-NEON.BET.D02.006756                                      => True: N/A, DINO: 27 , Check?: 0, Merge?: 0
Pterostichus_stygicus-Atray-Y2019-NEON.BET.D02.007302-NEON.BET.D02.009047                                      => True: 35 , DINO: 35 , Check?: 0, Merge?: 0
Pterostichus_permundus-Btray-Y2018-NEON.BET.D02.005907-NEON.BET.D02.007175                                     => True: 17 , DINO: 17 , Check?: 0, Merge?: 0
Pterostichus_lachrymosus-Atray-Y2018-NEON.BET.D07.003284-NEON.BET.D07.004677                                   => True: 42 , DINO: 42 , Check?: 0, Merge?: 0
Cyclotrachelus_fucatus-Atray-Y2017-NEON.BET.D07.000181-NEON.BET.D07.002619                                     => True: 42 , DINO: 42 , Check?: 0, Merge?: 0
Cylindera_unipunctata-Btray-Y2019-NEON.BET.D07.006216-NEON.BET.D07.007160                                      => True: 26 , DINO: 26 , Check?: 0, Merge?: 0
Sphaeroderus_stenostomus-Atray-Y2022-NEON.BET.D07.012000-NEON.BET.D07.013909                                   => True: N/A, DINO: 32 , Check?: 0, Merge?: 0
Cyclotrachelus_faber-Atray-Y2019-NEON.BET.D03.002240-NEON.BET.D03.002716                                       => True: 46 , DINO: 46 , Check?: 0, Merge?: 0
Anisodactylus_haplomus-Atray-Y2019-NEON.BET.D03.002154-NEON.BET.D03.002418                                     => True: 56 , DINO: 56 , Check?: 0, Merge?: 0
Calosoma_affine-Btray-Y2019-NEON.BET.D06.006085-NEON.BET.D06.006122                                            => True: 12 , DINO: 12 , Check?: 0, Merge?: 0
Pterostichus_stygicus-Atray-Y2022-NEON.BET.D02.011897-NEON.BET.D02.13372                                       => True: 40 , DINO: 40 , Check?: 0, Merge?: 0
Calosoma_affine-Atray-Y2019-NEON.BET.D06.005264-NEON.BET.D06.005687                                            => True: 38 , DINO: 38 , Check?: 0, Merge?: 0
Amara_aenea-Btray-Y2018-NEON.BET.D02.006188-NEON.BET.D02.006219                                                => True: 20 , DINO: 20 , Check?: 0, Merge?: 0
Cyclotrachelus_furtivus-Atray-Y2019-NEON.BET.D02.007413-NEON.BET.D02.007520                                    => True: 56 , DINO: 56 , Check?: 0, Merge?: 0
Cyclotrachelus_fucatus-Atray-Y2019-NEON.BET.D07.005666-NEON.BET.D07.006323                                     => True: 70 , DINO: 70 , Check?: 0, Merge?: 0
Pterostichus_melanarius-Btray-Y2019-NEON.BET.D05.005589-NEON.BET.D05.005601                                    => True: 12 , DINO: 12 , Check?: 0, Merge?: 0
Scaphinotus_angusticollis-Btray-Y2019-NEON.BET.D16.003904-NEON.BET.D16.003164                                  => True: 9  , DINO: 9  , Check?: 0, Merge?: 0
Pterostichus_ordinarius-Atray-Y2021-NEON.BET.D17.002361-NEON.BET.D17.002452                                    => True: 24 , DINO: 24 , Check?: 0, Merge?: 0
Cicindela_punctulata-Btray-Y2022-NEON.BET.D06.008137-NEON.BET.D06.008824                                       => True: 13 , DINO: 13 , Check?: 0, Merge?: 0
Carabus_goryi-Atray-Y2022-NEON.BET.D07.012129-NEON.BET.D07.012422                                              => True: 46 , DINO: 46 , Check?: 0, Merge?: 0
Pterostichus_mutus-Atray-Y2019-NEON.BET.D02.008838-NEON.BET.D02.008856                                         => True: 13 , DINO: 13 , Check?: 0, Merge?: 0
Calathus_opaculus-Btray-Y2018-NEON.BET.D06.003536-NEON.BET.D06.003585                                          => True: N/A, DINO: 24 , Check?: 0, Merge?: 0
Harpalus_desertus-Atray-Y2018-NEON.BET.D10.007010-NEON.BET.D10.0009521                                         => True: 40 , DINO: 40 , Check?: 0, Merge?: 0
Amara_aenea-Btray-Y2021-NEON.BET.D02.010171-NEON.BET.D02.010197                                                => True: 23 , DINO: 23 , Check?: 0, Merge?: 0
Pterostichus_coracinus-Atray-Y2019-NEON.BET.D05.005302-NEON.BET.D05.006132                                     => True: 48 , DINO: 48 , Check?: 0, Merge?: 0
Pasimachus_sublaevis-Atray-Y2019-NEON.BET.D03.002427-NEON.BET.D03.002519                                       => True: 36 , DINO: 36 , Check?: 0, Merge?: 0
Dicaelus_sculptilis-Btray-Y2022-NEON.BET.D06.008839-NEON.BET.D06.009029                                        => True: 21 , DINO: 21 , Check?: 0, Merge?: 0
Harpalus_amputatus-Btray-Y2019-NEON.BET.D10.010045-NEON.BET.D10.012126                                         => True: 30 , DINO: 30 , Check?: 0, Merge?: 0
Pterostichus_permundus-Btray-Y2022-NEON.BET.D02.13269-NEON.BET.D02.13497                                       => True: 25 , DINO: 25 , Check?: 0, Merge?: 0
Carabus_goryi-Atray-Y2021-NEON.BET.D07.009827-NEON.BET.D07.009945                                              => True: 48 , DINO: 48 , Check?: 0, Merge?: 0
Poecilus_scitulus-Btray-Y2015-NEON.BET.D10.003146-NEON.BET.D10.004253                                          => True: 23 , DINO: 23 , Check?: 0, Merge?: 0
Agonum_gratiosum-Btray-Y2019-NEON.BET.D05.005707-NEON.BET.D05.006336                                           => True: 18 , DINO: 18 , Check?: 0, Merge?: 0
Cymindis_planipennis-Btray-Y2019-NEON.BET.D10.011155-NEON.BET.D10.011528                                       => True: 20 , DINO: 20 , Check?: 0, Merge?: 0
Cratacanthus_dubius-Atray-Y2021-NEON.BET.D10.013464-NEON.BET.D10.014331                                        => True: 68 , DINO: 68 , Check?: 0, Merge?: 0
Dicaelus_dilatatus-Atray-Y2018-NEON.BET.D07.003251-NEON.BET.D07.005601                                         => True: N/A, DINO: 28 , Check?: 0, Merge?: 0
Pasimachus_punctulatus-Atray-Y2017-NEON.BET.D07.001590-NEON.BET.D07.002088                                     => True: 20 , DINO: 20 , Check?: 0, Merge?: 0
Pterostichus_lama-Atray-Y2021-NEON.BET.D17.002266-NEON.BET.D17.002286                                          => True: 20 , DINO: 20 , Check?: 0, Merge?: 0
Carabus_serratus-Atray-Y2019-NEON.BET.D09.004240-NEON.BET.D09.005635                                           => True: 24 , DINO: 24 , Check?: 0, Merge?: 0
Anisodactylus_sp.-Atray-Y2020-NEON.BET.D07.005766-NEON.BET.D07.007539                                          => True: N/A, DINO: 31 , Check?: 0, Merge?: 0
Sphaeroderus_stenostomus-Atray-Y2018-NEON.BET.D05.004013-NEON.BET.D05.005158                                   => True: 31 , DINO: 31 , Check?: 0, Merge?: 0
Pasimachus_elongatus-Atray-Y2023-NEON.BET.D10.017094-NEON.BET.D10.017291                                       => True: 33 , DINO: 33 , Check?: 0, Merge?: 0
Carabus_truncaticollis-Atray-Y2022-NEON.BET.D18.002915-NEON.BET.D18.003010                                     => True: 57 , DINO: 57 , Check?: 0, Merge?: 0
Chlaenius_aestivus-Atray-Y2019-NEON.BET.D02.007696-NEON.BET.D02.007747                                         => True: 46 , DINO: 46 , Check?: 0, Merge?: 0
Pterostichus_herculaneus-Atray-Y2019-NEON.BET.D16.002398-NEON.BET.D16.002537                                   => True: 49 , DINO: 49 , Check?: 0, Merge?: 0
Chlaenius_emarginatus-Atray-Y2022-NEON.BET.D02.12537-NEON.BET.D02.13052                                        => True: 49 , DINO: 49 , Check?: 0, Merge?: 0
Synuchus_impunctatus-Atray-Y2019-NEON.BET.D05.006235-NEON.BET.D05.006313                                       => True: 70 , DINO: 70 , Check?: 0, Merge?: 0
Pterostichus_acutipes-Btray-Y2018-NEON.BET.D07.005223-NEON.BET.D07.005691                                      => True: N/A, DINO: 18 , Check?: 0, Merge?: 0
Dicaelus_dilatatus-Btray-Y2019-NEON.BET.D08.002609-NEON.BET.D08.002811                                         => True: N/A, DINO: 7  , Check?: 0, Merge?: 0
Chlaenius_tomentosus-Btray-Y2019-NEON.BET.D02.008191-NEON.BET.D02.009089                                       => True: 18 , DINO: 18 , Check?: 0, Merge?: 0
Dicaelus_furvus-Btray-Y2023-NEON.BET.D08.003777-NEON.BET.D08.003986                                            => True: 19 , DINO: 19 , Check?: 0, Merge?: 0
Amara_confusa-Btray-Y2022-NEON.BET.D10.014636-NEON.BET.D10.016147                                              => True: 19 , DINO: 19 , Check?: 0, Merge?: 0
Pterostichus_novus-Atray-Y2019-NEON.BET.D05.005431-NEON.BET.D05.005532                                         => True: 46 , DINO: 46 , Check?: 0, Merge?: 0
Pterostichus_mutus-Btray-Y2021-NEON.BET.D07.008298-NEON.BET.D07.011864                                         => True: 31 , DINO: 31 , Check?: 0, Merge?: 0
Sphaeroderus_stenostomus-Atray-Y2019-NEON.BET.D07.005742-NEON.BET.D07.006365                                   => True: 48 , DINO: 48 , Check?: 0, Merge?: 0
Cylindera_unipunctata-Btray-Y2018-NEON.BET.D07.003255-NEON.BET.D07.005188                                      => True: 23 , DINO: 24 , Check?: 0, Merge?: 1
Cyclotrachelus_sigillatus-Atray-Y2021-NEON.BET.D07.009991-NEON.BET.D07.011965                                  => True: 50 , DINO: 50 , Check?: 0, Merge?: 0
